ClientID,Nom,Prénom,Email,Téléphone,Adresse,Ville,CodePostal,Pays,DateNaissance,Âge,Sexe,NuméroCarteCrédit,TypeCarteCrédit,DateExpirationCarte,SoldeCompte,TypeClient,NombreAchats,MontantTotalAchats,DernierAchat,ProduitPréféré,CatégorieProduitPréféré,FréquenceAchatMensuel,PanierMoyen,ScoreFidélité,NombreRemboursements,MontantTotalRemboursé,AvisClient,AbonnementNewsletter,TypePaiementFavori,StatutCompte
8ff58ece-b7ce-49fc-871d-be7f8ce6153b,Santiago,Tracey,angela41@gmail.com,297-608-9379,"0507 Williams Plains, South Steven, HI 98808",Michaelhaven,63558,Estonia,1959-10-28,66,M,4297374993784390975,VISA 16 digit,03/30,4211.0,Entreprise,7,1007.26,2024-04-09,most,Mode,0,143.89,10,0,0.0,Mécontent,True,Paypal,Suspendu
4d9c9411-36aa-473d-8fee-308a0442f836,Johnston,Brandon,ibenson@yahoo.com,176.380.0735x62459,"132 Lester Park Apt. 051, Martinview, NV 41514",North Deborah,06684,Korea,1999-12-30,26,F,30384274472770,JCB 16 digit,07/26,3992.53,Particulier,10,189.46,2025-01-18,benefit,Sport,1,18.95,47,4,171.28,Mécontent,True,Carte bancaire,Actif
3aba6036-972f-4f80-a101-962b2c5cbd18,Casey,Molly,ldavis@yahoo.com,001-867-556-3605x96336,"949 Ruiz Bypass Suite 336, South Katie, DC 04977",West Kari,41070,Estonia,1935-11-28,90,F,4214682581564175,JCB 16 digit,10/31,2081.04,Particulier,12,4446.76,2024-05-21,model,Mode,7,370.56,58,0,0.0,Très mécontent,False,Paypal,Suspendu
704ff9b0-05e2-4736-9018-810b5444a86c,Johnson,Ashley,smithian@huerta-clark.biz,(116)324-1956,"300 Martinez Mission, Angelastad, AR 71976",Walkermouth,48252,South Africa,1971-05-10,54,M,4363407274918739,Maestro,01/35,2889.66,Entreprise,6,2646.88,2024-05-04,mind,Sport,9,441.15,5,3,373.93,Neutre,False,Paypal,Actif
8eb4f315-9cde-4c7b-9a26-669447dadd4b,Gross,Johnny,andrew78@gmail.com,+1-569-816-6947,"5032 Steve Shoal, West Stephanieton, IL 91435",Raymondville,93796,Argentina,1966-08-22,59,M,3540109837640887,Maestro,12/28,4154.3,Entreprise,16,888.55,2024-08-08,throw,Mode,6,55.53,54,2,174.84,Très mécontent,False,Virement,Suspendu
379871e9-0b5e-4484-9250-103d06c0fb4a,Turner,Leah,david48@bernard.com,984-092-9270,"630 Robinson Crossroad, West Sean, MA 89778",West Emilytown,58636,Guatemala,1943-10-18,82,M,4825852502551715,American Express,08/30,3791.91,Entreprise,4,1851.99,2023-07-15,stay,Sport,6,463.0,26,1,31.86,Neutre,True,Carte bancaire,Inactif
5717143e-d6a4-4087-9360-9e0e9dfa1cb2,Pearson,Mark,phughes@henry-perez.com,431-869-5481,"PSC 2650, Box 3103, APO AA 35757",Davidstad,54329,Sierra Leone,1968-06-21,57,M,639040924560,Mastercard,06/28,3349.76,Entreprise,13,5072.03,2023-10-25,clear,Mode,3,390.16,93,0,0.0,Neutre,True,Paypal,Inactif
749a31d6-501c-4f88-91b6-9173bbf2f385,Gamble,Kevin,amyreed@yahoo.com,357-937-0650x40024,"666 Rose Bridge Suite 330, Greenshire, RI 75941",Smithborough,47109,Oman,1958-07-14,67,F,6011126351971624,VISA 13 digit,08/31,4819.3,Entreprise,13,784.89,2024-03-11,coach,Alimentation,8,60.38,47,3,22.21,Mécontent,True,Carte bancaire,Inactif
422d18c5-601c-438b-9cb7-d867811c46f0,Morgan,Ashley,wilsongregory@colon.com,001-411-767-3629x06942,"8087 Tanner Mountain Suite 663, Amberton, GA 70226",Johntown,63470,Uganda,2005-11-18,20,M,5329578922099054,Diners Club / Carte Blanche,12/30,3588.26,Entreprise,17,6293.65,2024-09-05,stop,Maison,2,370.21,58,0,0.0,Très mécontent,True,Virement,Inactif
7cc46636-a0d2-4dba-a382-c78cf6fdd85c,Martin,William,joseph05@gmail.com,795-453-8999,"8378 Megan Unions, Wellsburgh, WI 14772",Lake James,35298,French Guiana,1985-09-11,40,M,4143397144224821,JCB 15 digit,03/28,2258.24,Entreprise,6,53.29,2024-09-21,society,Alimentation,10,8.88,89,0,0.0,Très mécontent,True,Paypal,Actif
0d37a8b7-9d93-4380-ab53-0fa29805b746,Jenkins,Casey,scottalexander@hotmail.com,+1-352-677-1136x876,"08470 Brandon Mill Suite 406, South Brent, IA 54233",New Scott,63933,Cambodia,1947-07-01,78,F,6562900005224637,VISA 16 digit,09/33,497.56,Entreprise,5,2057.68,2025-01-17,cut,Électronique,0,411.54,56,0,0.0,Très satisfait,False,Virement,Actif
0d284237-716e-4bc3-8c57-aeba0f5ce1cb,Shepherd,Ashley,wnorton@zavala.com,001-729-084-9923x676,"872 Calderon Stream Apt. 787, Samanthamouth, SC 39565",South Martinshire,66088,Holy See (Vatican City State),1950-09-12,75,M,6597313975670939,American Express,04/33,163.26,Entreprise,14,3385.66,2024-01-08,bit,Sport,8,241.83,30,1,129.95,Mécontent,False,Carte bancaire,Inactif
99f222df-6333-4160-8b47-ebddf0263b1e,Crawford,Thomas,tsexton@hotmail.com,+1-787-662-2466x3439,"923 Richardson Stravenue Apt. 966, Johnsonburgh, ID 78628",Jessicaton,56229,Turks and Caicos Islands,1947-01-30,78,M,4492296097059108583,American Express,10/29,3357.34,Entreprise,18,8607.03,2023-11-06,garden,Alimentation,1,478.17,64,0,0.0,Satisfait,True,Virement,Inactif
dc5ed7fa-d003-4fe0-bf86-a4a2734771b8,Howard,Paul,sierra93@york.com,379-327-1497x684,"6750 Swanson Ports Apt. 205, Port Stephen, MS 92772",West Matthewport,15385,Sweden,1998-02-20,27,M,571854212206,JCB 16 digit,10/31,3541.56,Entreprise,18,7528.0,2023-05-16,military,Alimentation,8,418.22,48,2,240.63,Neutre,True,Paypal,Inactif
1d2914a6-bd00-483d-ba2a-dfc01390e2b2,Smith,Karen,tinabrowning@king.com,251.436.7677x7420,"56479 Brown Lights Suite 447, Sherryside, WA 40964",Espinozashire,72179,Vietnam,1951-03-19,74,M,566173139171,Maestro,12/34,1957.83,Entreprise,5,472.78,2023-04-12,move,Maison,3,94.56,42,0,0.0,Très satisfait,False,Cryptomonnaie,Suspendu
2e94f90e-11eb-4269-a340-6322cc7bb1d2,Thomas,Robin,sweeneymichelle@washington.com,001-808-781-1413x117,"708 Rebecca Mews Apt. 798, Port Christine, SD 68140",Lake Kathryn,71242,Libyan Arab Jamahiriya,1974-02-28,51,F,4752955699852533385,American Express,01/30,4480.68,Particulier,11,1628.96,2023-08-24,manager,Maison,2,148.09,37,3,105.72,Neutre,False,Carte bancaire,Inactif
50994b1a-da3c-45ed-9ef1-63e11ce2e708,Hernandez,John,swilliams@bell.com,001-416-358-3761x36242,"490 Wolf Common, Moodymouth, OK 01844",West Tonya,40037,Serbia,1989-03-07,36,M,4835889442399522,Diners Club / Carte Blanche,09/30,260.63,Particulier,6,1854.47,2024-01-11,gas,Maison,0,309.08,31,3,114.08,Satisfait,False,Virement,Inactif
56cc76cb-ab9d-457f-999f-6c10a06586f9,Taylor,Laura,yrice@dodson-hernandez.com,001-344-840-4460x8819,"303 Brandon Road, Ryanland, GA 30856",Dominguezside,69447,Guinea-Bissau,1940-07-17,85,M,30124228088532,Mastercard,08/33,2996.09,Entreprise,0,0.0,2024-12-07,price,Alimentation,3,0.0,56,0,0.0,Mécontent,True,Paypal,Suspendu
5418c3dd-ebc2-484e-bcf7-d1dd4e5ff311,Lester,Frank,garciamary@bray-evans.com,594.774.1403,"70380 Eduardo Dam Suite 207, Walkermouth, TX 71863",Lake Andrew,58480,Bulgaria,1962-11-22,63,M,630429002128,VISA 19 digit,12/26,1745.53,Entreprise,5,548.54,2024-12-22,almost,Électronique,7,109.71,55,4,651.65,Neutre,False,Carte bancaire,Suspendu
f82e0f8a-ff33-467a-9535-78ebdefbe487,Martin,Mary,tyler22@yahoo.com,+1-445-683-4961x24290,"5693 Joann Vista, Davischester, MD 51787",New Cathyborough,77553,Taiwan,1941-11-01,84,F,340707721304052,JCB 16 digit,11/28,3154.43,Particulier,17,880.02,2024-01-28,pull,Maison,6,51.77,54,2,286.41,Neutre,True,Carte bancaire,Suspendu
7e619fb9-4901-49af-9c63-f6f0302ecc1a,Diaz,Timothy,tyler02@hayes.info,653-078-2985,"01332 Melissa Hills Suite 053, East Clairestad, ME 63154",Kellyborough,29086,New Caledonia,1996-11-25,29,M,2387906832667882,VISA 16 digit,10/32,4295.25,Particulier,3,993.85,2024-06-05,while,Mode,1,331.28,86,3,57.23,Mécontent,False,Virement,Actif
8ec2227f-3cc9-4e62-a9c2-b38561baf3c3,Fleming,Glenn,xandersen@morris-velez.net,+1-372-576-4329x8417,"9964 Pope Rest, Craigside, CT 35545",Port Sharonmouth,16439,Antigua and Barbuda,1937-09-15,88,F,3531800775629293,VISA 16 digit,08/25,2873.63,Entreprise,20,2461.94,2025-01-14,investment,Alimentation,6,123.1,21,0,0.0,Neutre,True,Carte bancaire,Suspendu
823daf4c-1241-4f6d-b94e-b2d388aadde8,Sullivan,Jodi,paulpotts@gonzalez.biz,744-523-9544x05952,"53817 Johnson Ports Apt. 049, Cherylhaven, AK 89693",Sarahville,15795,Antigua and Barbuda,1972-01-31,53,F,213134588969519,JCB 16 digit,05/29,2436.5,Particulier,14,2582.23,2024-07-18,off,Électronique,9,184.44,68,1,61.91,Mécontent,True,Carte bancaire,Actif
e13e0a16-8e44-4f54-b26c-e2751060b248,Gibson,Anthony,wwallace@green.biz,001-599-761-8833x8412,"4434 Stephen Drives, Lake Davidmouth, UT 66374",Lake Christopherhaven,80789,Israel,1937-09-25,88,M,4598174282280794,Mastercard,02/26,2701.43,Entreprise,19,9055.95,2024-12-16,center,Mode,8,476.63,94,5,339.47,Satisfait,False,Carte bancaire,Actif
be3cfe27-76ed-4719-a1ae-ed52b6d99a25,Garcia,Carla,walkerrobert@gmail.com,+1-140-100-7971x77398,"646 Charles Shoals Suite 624, South Brian, AR 18412",North Joseph,18868,Libyan Arab Jamahiriya,1943-03-10,82,F,503862204248,VISA 19 digit,12/28,1049.42,Particulier,10,1749.03,2025-01-18,knowledge,Alimentation,7,174.9,64,5,353.41,Très satisfait,False,Virement,Actif
c00eb067-ee27-4770-8e34-1747cfa7f0c8,Weaver,Alexander,andrewbrown@yahoo.com,653-913-0369x176,"31804 Howell Club Suite 360, South Crystalborough, AR 71059",Lake Brooke,36802,Kenya,2003-04-03,22,M,347781159319901,JCB 15 digit,10/30,1424.09,Particulier,8,3633.86,2024-07-16,artist,Sport,6,454.23,14,4,364.14,Mécontent,False,Virement,Suspendu
f2b62be6-688a-4dd6-b273-a037b1de4287,Olson,Gregory,caitlin95@wilson.com,362-041-0446x03832,"462 Haas Lakes Apt. 600, East Joann, CO 53847",Karinaborough,79042,Turks and Caicos Islands,1945-03-10,80,F,4203201510124002,Discover,06/28,4605.77,Entreprise,8,1216.35,2024-08-12,machine,Maison,8,152.04,34,4,559.55,Neutre,True,Cryptomonnaie,Suspendu
a60b56ce-8473-4f7e-9f46-0bc90e60bdbf,Miller,Joseph,donaldevans@hotmail.com,(497)087-7790,"383 Jasmine Squares, South Raymondview, ME 23240",Macdonaldfurt,71494,Jamaica,1970-11-10,55,F,4341343023231666860,VISA 19 digit,05/32,2990.01,Particulier,14,5184.01,2023-06-14,less,Sport,8,370.29,39,0,0.0,Mécontent,True,Cryptomonnaie,Actif
fb1b0bc6-1934-4163-bcd0-e8e21a29753f,Harris,Jennifer,dnorman@johnson-ramirez.com,762.678.5569x146,"Unit 8266 Box 6958, DPO AE 76511",Joburgh,49668,Canada,1990-06-21,35,F,4662543817081763,Diners Club / Carte Blanche,07/28,3965.05,Entreprise,6,1017.59,2025-01-22,value,Électronique,5,169.6,65,3,324.51,Satisfait,False,Carte bancaire,Inactif
fe3c1b29-0d79-40e6-9204-adeeb72c09c0,Bowers,Lauren,zbarrett@yahoo.com,(697)344-8044x950,"1452 Lauren Neck, Sullivanchester, WA 02815",South Courtney,23114,Saudi Arabia,1982-11-04,43,M,30074630236536,Diners Club / Carte Blanche,07/32,3477.26,Particulier,20,8307.03,2024-03-22,common,Alimentation,4,415.35,39,1,84.0,Très mécontent,False,Paypal,Suspendu
1edd2555-ca1b-4031-bc32-bc1fb5ea10f5,Brady,Amanda,martinezstephanie@yahoo.com,637-296-3885,"816 Collins Lights Suite 081, Deannafort, MD 40023",South Davidton,20002,Syrian Arab Republic,1936-09-12,89,F,3550782341699354,Mastercard,11/28,14.78,Particulier,3,1193.93,2023-04-16,color,Sport,7,397.98,16,2,321.24,Satisfait,False,Virement,Suspendu
097af542-98c6-41b3-92d1-4c67247903aa,Hopkins,Kyle,elizabethperez@jensen.com,977-403-4449x54980,"951 Johnson Drive, West Larry, AR 28107",Port David,76801,Canada,1972-03-31,53,M,4457561711427412797,JCB 15 digit,12/31,434.24,Particulier,1,28.15,2024-08-16,remember,Mode,1,28.15,78,3,199.54,Très satisfait,True,Carte bancaire,Actif
39cb03cc-12f5-4905-96e6-9cc9dd5c341a,Moss,Terri,ewilliams@best.com,8459831026,"16644 Tammy Pines, Port Amandaside, MO 50126",Matthewtown,72819,Saint Vincent and the Grenadines,1950-08-25,75,F,3526364657220280,JCB 16 digit,10/34,3194.9,Particulier,6,1349.74,2023-11-02,TV,Mode,10,224.96,93,2,95.05,Mécontent,True,Carte bancaire,Suspendu
2f242b8b-db94-409e-83a0-a37ad497eaa5,Church,William,mdavis@hotmail.com,+1-227-980-7814x5757,"935 Carlos Cove, New Dustinshire, KY 81583",Davisberg,76842,Guernsey,2001-08-29,24,M,4240589110866724,Maestro,12/28,3891.42,Entreprise,10,2985.2,2023-02-14,risk,Alimentation,5,298.52,68,1,6.95,Satisfait,True,Carte bancaire,Suspendu
d5990e05-9171-4788-bb0f-47440d4716a7,Powers,Kevin,wjuarez@thomas.org,920-314-4822,"3692 Wood Trafficway, Jacksonmouth, ID 47317",Port Stephenbury,66986,Switzerland,1942-08-04,83,F,4115444059536080,JCB 16 digit,04/31,3172.03,Entreprise,18,362.14,2024-02-13,think,Électronique,10,20.12,52,4,288.14,Mécontent,True,Paypal,Inactif
fc6d592b-248a-4fe8-9bc4-62d0042a48fb,Wilson,Peter,dcook@smith.com,001-994-916-2031x154,"503 Alexander Loaf Apt. 657, Morganport, HI 52806",North Hayden,07501,Denmark,2002-10-31,23,M,6552834930737102,Maestro,04/29,552.56,Entreprise,17,8443.35,2024-03-04,unit,Sport,4,496.67,45,1,37.87,Mécontent,False,Carte bancaire,Suspendu
4636f901-d666-4c58-b9cf-8e906f4d3750,Holmes,Nicholas,opaul@weiss-small.com,0636538395,"USNS Taylor, FPO AA 89231",South Alexandrahaven,17561,Pitcairn Islands,1934-09-20,91,M,4540284376848502,Diners Club / Carte Blanche,08/26,3956.76,Entreprise,8,2069.59,2024-06-05,local,Sport,0,258.7,5,5,394.23,Très satisfait,True,Virement,Inactif
44dcc88d-26f2-478b-8911-60a550dbc412,Ross,Lori,plarson@sparks.net,001-810-802-6994x24233,"088 David Place Suite 735, New Scott, ND 54568",Robbinsville,97363,Iceland,1948-09-16,77,F,4087773703622720,VISA 16 digit,06/31,3414.57,Particulier,9,2349.49,2023-04-02,manager,Sport,10,261.05,80,0,0.0,Mécontent,False,Paypal,Actif
a7c9afa8-65c6-409f-9c56-a5e932ecb61f,Blevins,Robert,bpeters@burke.com,1139459864,"27597 Katie Knolls, Port Robert, WV 56473",Michaelmouth,02071,Nepal,1977-05-21,48,F,4132859652759,JCB 15 digit,10/34,3119.09,Particulier,14,3287.49,2024-01-08,place,Alimentation,4,234.82,91,4,347.33,Mécontent,False,Carte bancaire,Inactif
d0312781-dd1a-441e-9014-31b36ce7003b,Williams,Jerry,nhoward@yahoo.com,079.621.5306x588,"PSC 8306, Box 0422, APO AE 69606",Johnsonmouth,47048,Croatia,1958-03-09,67,M,349654928648173,JCB 15 digit,12/26,3833.18,Particulier,10,885.03,2023-08-31,lose,Électronique,9,88.5,1,3,61.6,Très satisfait,False,Carte bancaire,Actif
5121dfad-3a32-4d3a-8a78-1d7799fea78b,Mathews,Scott,cdavis@yahoo.com,(003)534-5777x805,"4999 Medina Club Suite 824, Johnsonchester, SD 50077",Lake Georgeside,73646,France,1962-04-08,63,M,3598383933352090,VISA 16 digit,01/29,4973.22,Particulier,16,1049.08,2023-06-18,discuss,Alimentation,6,65.57,15,3,514.23,Très mécontent,True,Paypal,Inactif
d5e496c4-2d86-42a9-9933-c2c7ddc264d5,Newman,Laura,theresa39@gmail.com,389-149-2071,"813 Hernandez Springs, West Debrastad, AL 58703",Allisonborough,68283,Belarus,1986-11-11,39,M,4687579233227466,VISA 16 digit,07/31,3993.58,Particulier,12,2261.62,2023-04-16,so,Mode,3,188.47,27,5,54.25,Neutre,False,Carte bancaire,Actif
fdca66e3-a74d-4212-89cb-7f092134cf30,Kelly,Cody,christopherpeters@hotmail.com,275-956-4452,"58835 David Corner, Kristiberg, SC 16188",Bobbytown,00550,Grenada,1993-06-19,32,F,4549444829610641,VISA 19 digit,05/32,1471.41,Particulier,15,1341.54,2023-05-12,they,Électronique,2,89.44,94,4,326.79,Satisfait,False,Paypal,Suspendu
bab9b7ed-319a-4680-86ea-c94320bd9184,Moody,Jill,jeffreyhouse@hotmail.com,(710)591-4605,"4620 Sara Neck, South Darius, NH 53055",Port Michaelton,68134,Dominican Republic,1973-11-16,52,M,639045064016,Discover,11/25,467.54,Particulier,15,146.41,2024-03-03,skill,Maison,3,9.76,10,5,172.04,Mécontent,True,Paypal,Actif
c148da65-5ecd-42e2-91a8-11cf4389bf2f,Moore,John,jimmy65@caldwell.info,035.228.6766x65295,"101 Charles Summit, North Madisonside, MN 65611",Michaelmouth,63731,Indonesia,2000-11-15,25,F,4909640027738860,Mastercard,08/29,3751.09,Entreprise,20,944.95,2023-04-10,card,Alimentation,0,47.25,22,0,0.0,Satisfait,True,Cryptomonnaie,Actif
86a63c99-de8a-4a29-b050-c4be3875f9e3,Hall,Lisa,cortezmckenzie@butler.net,029-735-2148x658,"USCGC Davis, FPO AA 05619",Lake Johnville,46456,Haiti,2001-07-23,24,F,4747961890383,VISA 16 digit,03/33,4419.14,Entreprise,6,2709.69,2023-07-15,yourself,Électronique,7,451.62,42,3,577.62,Mécontent,False,Virement,Suspendu
567936c5-0059-43fc-92c1-29e0f4779865,Cain,Nicholas,petersenjoseph@gmail.com,017.520.9369x1575,"955 Brock Loop Suite 274, West Phillipchester, WY 22156",Jenniferside,82856,United Kingdom,1983-07-21,42,F,6545179121510375,Diners Club / Carte Blanche,09/34,3987.7,Entreprise,17,124.31,2023-10-11,town,Alimentation,7,7.31,66,4,486.67,Très satisfait,True,Carte bancaire,Inactif
0bb5f02b-7ead-4efd-aeaf-7675fcf5d513,Krueger,Julia,karen85@turner.com,001-270-595-1285x8807,"771 Emma Lane, Wendyfurt, TX 20945",Leslietown,68079,Niger,1957-03-25,68,M,3577787605923118,Diners Club / Carte Blanche,05/29,3633.61,Particulier,14,3113.97,2024-08-08,factor,Alimentation,0,222.43,65,2,232.14,Neutre,True,Virement,Actif
8fa9748c-89fb-4474-99cc-4eadf4af7189,Nguyen,Angel,coxtom@adams.info,(425)577-3778x2387,"00433 Molly Well, Mayerton, IN 60333",Lake Angelstad,06301,Venezuela,1961-06-19,64,F,379539178984647,Diners Club / Carte Blanche,09/31,2079.64,Entreprise,1,237.25,2023-04-30,third,Mode,1,237.25,30,2,143.68,Très mécontent,False,Paypal,Suspendu
4d1795a7-4b9b-4539-9a46-e4e05fbdb141,Foster,Wendy,bendermelissa@hotmail.com,+1-246-181-2535x686,"3404 Garcia Street, Reyestown, IA 09038",East Brian,26110,Qatar,1968-04-28,57,M,2720761922902202,JCB 16 digit,03/25,3865.53,Entreprise,17,7099.67,2023-12-04,throughout,Sport,2,417.63,84,4,708.24,Neutre,True,Cryptomonnaie,Suspendu
