ClientID,Email,Téléphone,Pays,Âge,NuméroCarteCrédit,TypeClient,NombreAchats,MontantTotalAchats,DernierAchat,ProduitPréféré,CatégorieProduitPréféré,FréquenceAchatMensuel,PanierMoyen,ScoreFidélité,NombreRemboursements,MontantTotalRemboursé,AvisClient,AbonnementNewsletter,TypePaiementFavori,Bénéfice,Fidélité
073fdfca-a8df-4e28-ae42-460761586770,gatesjavier@example.net,***-***-****x***,Syrian Arab Republic,"(70.0, 99.0]",****************,Particulier,9,1570.28,2024-11-02,simply,Maison,0,174.48,27,4,152.13,Très satisfait,True,Paypal,1418.15,Faible
88dcb53d-58ba-4746-b942-91d07190a03c,lpowell@example.net,(***)***-****,India,"(30.0, 50.0]",************,Particulier,6,1137.0,2023-05-17,morning,Alimentation,8,189.5,23,3,61.77,Très satisfait,False,Cryptomonnaie,1075.23,Faible
ad388d2e-a57a-4a60-b1d1-4fd15d27b74c,shughes@example.com,**********,Philippines,"(50.0, 70.0]",***************,Entreprise,17,688.51,2023-02-18,future,Maison,10,40.5,59,1,70.21,Très mécontent,True,Cryptomonnaie,618.3,Moyen
ef5c5f75-5404-4191-800f-a2bc3dac7412,carrlorraine@example.com,**********,Saint Barthelemy,"(70.0, 99.0]",**************,Entreprise,4,1361.55,2024-03-06,tell,Sport,8,340.39,93,4,557.23,Satisfait,False,Virement,804.3199999999999,Très fort
8ff58ece-b7ce-49fc-871d-be7f8ce6153b,kimpruitt@example.com,***-***-****,Estonia,"(50.0, 70.0]",*******************,Entreprise,7,1007.26,2024-04-09,most,Mode,0,143.89,10,0,0.0,Mécontent,True,Paypal,1007.26,Très faible
4d9c9411-36aa-473d-8fee-308a0442f836,fosterzachary@example.net,***.***.****x*****,Korea,"(17.999, 30.0]",**************,Particulier,10,189.46,2025-01-18,benefit,Sport,1,18.95,47,4,171.28,Mécontent,True,Carte bancaire,18.180000000000007,Moyen
3aba6036-972f-4f80-a101-962b2c5cbd18,kristin64@example.com,***-***-***-****x*****,Estonia,"(70.0, 99.0]",****************,Particulier,12,4446.76,2024-05-21,model,Mode,7,370.56,58,0,0.0,Très mécontent,False,Paypal,4446.76,Moyen
704ff9b0-05e2-4736-9018-810b5444a86c,melanie57@example.com,(***)***-****,South Africa,"(50.0, 70.0]",****************,Entreprise,6,2646.88,2024-05-04,mind,Sport,9,441.15,5,3,373.93,Neutre,False,Paypal,2272.9500000000003,Très faible
8eb4f315-9cde-4c7b-9a26-669447dadd4b,chenderson@example.net,+*-***-***-****,Argentina,"(50.0, 70.0]",****************,Entreprise,16,888.55,2024-08-08,throw,Mode,6,55.53,54,2,174.84,Très mécontent,False,Virement,713.7099999999999,Moyen
379871e9-0b5e-4484-9250-103d06c0fb4a,jessicatyler@example.org,***-***-****,Guatemala,"(70.0, 99.0]",****************,Entreprise,4,1851.99,2023-07-15,stay,Sport,6,463.0,26,1,31.86,Neutre,True,Carte bancaire,1820.13,Faible
5717143e-d6a4-4087-9360-9e0e9dfa1cb2,danakramer@example.com,***-***-****,Sierra Leone,"(50.0, 70.0]",************,Entreprise,13,5072.03,2023-10-25,clear,Mode,3,390.16,93,0,0.0,Neutre,True,Paypal,5072.03,Très fort
749a31d6-501c-4f88-91b6-9173bbf2f385,vgarcia@example.com,***-***-****x*****,Oman,"(50.0, 70.0]",****************,Entreprise,13,784.89,2024-03-11,coach,Alimentation,8,60.38,47,3,22.21,Mécontent,True,Carte bancaire,762.68,Moyen
422d18c5-601c-438b-9cb7-d867811c46f0,sherry50@example.org,***-***-***-****x*****,Uganda,"(17.999, 30.0]",****************,Entreprise,17,6293.65,2024-09-05,stop,Maison,2,370.21,58,0,0.0,Très mécontent,True,Virement,6293.65,Moyen
7cc46636-a0d2-4dba-a382-c78cf6fdd85c,miguel33@example.net,***-***-****,French Guiana,"(30.0, 50.0]",****************,Entreprise,6,53.29,2024-09-21,society,Alimentation,10,8.88,89,0,0.0,Très mécontent,True,Paypal,53.29,Très fort
0d37a8b7-9d93-4380-ab53-0fa29805b746,vhernandez@example.org,+*-***-***-****x***,Cambodia,"(70.0, 99.0]",****************,Entreprise,5,2057.68,2025-01-17,cut,Électronique,0,411.54,56,0,0.0,Très satisfait,False,Virement,2057.68,Moyen
0d284237-716e-4bc3-8c57-aeba0f5ce1cb,mwood@example.org,***-***-***-****x***,Holy See (Vatican City State),"(70.0, 99.0]",****************,Entreprise,14,3385.66,2024-01-08,bit,Sport,8,241.83,30,1,129.95,Mécontent,False,Carte bancaire,3255.71,Faible
99f222df-6333-4160-8b47-ebddf0263b1e,andersonjudith@example.org,+*-***-***-****x****,Turks and Caicos Islands,"(70.0, 99.0]",*******************,Entreprise,18,8607.03,2023-11-06,garden,Alimentation,1,478.17,64,0,0.0,Satisfait,True,Virement,8607.03,Fort
dc5ed7fa-d003-4fe0-bf86-a4a2734771b8,garysmith@example.net,***-***-****x***,Sweden,"(17.999, 30.0]",************,Entreprise,18,7528.0,2023-05-16,military,Alimentation,8,418.22,48,2,240.63,Neutre,True,Paypal,7287.37,Moyen
1d2914a6-bd00-483d-ba2a-dfc01390e2b2,lambronald@example.org,***.***.****x****,Vietnam,"(70.0, 99.0]",************,Entreprise,5,472.78,2023-04-12,move,Maison,3,94.56,42,0,0.0,Très satisfait,False,Cryptomonnaie,472.78,Moyen
2e94f90e-11eb-4269-a340-6322cc7bb1d2,smithkimberly@example.org,***-***-***-****x***,Libyan Arab Jamahiriya,"(50.0, 70.0]",*******************,Particulier,11,1628.96,2023-08-24,manager,Maison,2,148.09,37,3,105.72,Neutre,False,Carte bancaire,1523.24,Faible
50994b1a-da3c-45ed-9ef1-63e11ce2e708,joseph87@example.net,***-***-***-****x*****,Serbia,"(30.0, 50.0]",****************,Particulier,6,1854.47,2024-01-11,gas,Maison,0,309.08,31,3,114.08,Satisfait,False,Virement,1740.39,Faible
f82e0f8a-ff33-467a-9535-78ebdefbe487,ndavis@example.net,+*-***-***-****x*****,Taiwan,"(70.0, 99.0]",***************,Particulier,17,880.02,2024-01-28,pull,Maison,6,51.77,54,2,286.41,Neutre,True,Carte bancaire,593.6099999999999,Moyen
7e619fb9-4901-49af-9c63-f6f0302ecc1a,jenniferwilcox@example.org,***-***-****,New Caledonia,"(17.999, 30.0]",****************,Particulier,3,993.85,2024-06-05,while,Mode,1,331.28,86,3,57.23,Mécontent,False,Virement,936.62,Très fort
8ec2227f-3cc9-4e62-a9c2-b38561baf3c3,julieklein@example.org,+*-***-***-****x****,Antigua and Barbuda,"(70.0, 99.0]",****************,Entreprise,20,2461.94,2025-01-14,investment,Alimentation,6,123.1,21,0,0.0,Neutre,True,Carte bancaire,2461.94,Faible
823daf4c-1241-4f6d-b94e-b2d388aadde8,murraystephen@example.com,***-***-****x*****,Antigua and Barbuda,"(50.0, 70.0]",***************,Particulier,14,2582.23,2024-07-18,off,Électronique,9,184.44,68,1,61.91,Mécontent,True,Carte bancaire,2520.32,Fort
e13e0a16-8e44-4f54-b26c-e2751060b248,thomasronnie@example.net,***-***-***-****x****,Israel,"(70.0, 99.0]",****************,Entreprise,19,9055.95,2024-12-16,center,Mode,8,476.63,94,5,339.47,Satisfait,False,Carte bancaire,8716.480000000001,Très fort
be3cfe27-76ed-4719-a1ae-ed52b6d99a25,nichole53@example.org,+*-***-***-****x*****,Libyan Arab Jamahiriya,"(70.0, 99.0]",************,Particulier,10,1749.03,2025-01-18,knowledge,Alimentation,7,174.9,64,5,353.41,Très satisfait,False,Virement,1395.62,Fort
c00eb067-ee27-4770-8e34-1747cfa7f0c8,xchang@example.org,***-***-****x***,Kenya,"(17.999, 30.0]",***************,Particulier,8,3633.86,2024-07-16,artist,Sport,6,454.23,14,4,364.14,Mécontent,False,Virement,3269.7200000000003,Très faible
f2b62be6-688a-4dd6-b273-a037b1de4287,stacy16@example.net,***-***-****x*****,Turks and Caicos Islands,"(70.0, 99.0]",****************,Entreprise,8,1216.35,2024-08-12,machine,Maison,8,152.04,34,4,559.55,Neutre,True,Cryptomonnaie,656.8,Faible
a60b56ce-8473-4f7e-9f46-0bc90e60bdbf,timpowell@example.net,(***)***-****,Jamaica,"(50.0, 70.0]",*******************,Particulier,14,5184.01,2023-06-14,less,Sport,8,370.29,39,0,0.0,Mécontent,True,Cryptomonnaie,5184.01,Faible
fb1b0bc6-1934-4163-bcd0-e8e21a29753f,xhudson@example.com,***.***.****x***,Canada,"(30.0, 50.0]",****************,Entreprise,6,1017.59,2025-01-22,value,Électronique,5,169.6,65,3,324.51,Satisfait,False,Carte bancaire,693.08,Fort
fe3c1b29-0d79-40e6-9204-adeeb72c09c0,paullowe@example.org,(***)***-****x***,Saudi Arabia,"(30.0, 50.0]",**************,Particulier,20,8307.03,2024-03-22,common,Alimentation,4,415.35,39,1,84.0,Très mécontent,False,Paypal,8223.03,Faible
1edd2555-ca1b-4031-bc32-bc1fb5ea10f5,mary89@example.com,***-***-****,Syrian Arab Republic,"(70.0, 99.0]",****************,Particulier,3,1193.93,2023-04-16,color,Sport,7,397.98,16,2,321.24,Satisfait,False,Virement,872.69,Très faible
39cb03cc-12f5-4905-96e6-9cc9dd5c341a,jermaine14@example.net,**********,Saint Vincent and the Grenadines,"(70.0, 99.0]",****************,Particulier,6,1349.74,2023-11-02,TV,Mode,10,224.96,93,2,95.05,Mécontent,True,Carte bancaire,1254.69,Très fort
2f242b8b-db94-409e-83a0-a37ad497eaa5,bowenjulie@example.org,+*-***-***-****x****,Guernsey,"(17.999, 30.0]",****************,Entreprise,10,2985.2,2023-02-14,risk,Alimentation,5,298.52,68,1,6.95,Satisfait,True,Carte bancaire,2978.25,Fort
d5990e05-9171-4788-bb0f-47440d4716a7,xharris@example.net,***-***-****,Switzerland,"(70.0, 99.0]",****************,Entreprise,18,362.14,2024-02-13,think,Électronique,10,20.12,52,4,288.14,Mécontent,True,Paypal,74.0,Moyen
fc6d592b-248a-4fe8-9bc4-62d0042a48fb,seangiles@example.org,***-***-***-****x***,Denmark,"(17.999, 30.0]",****************,Entreprise,17,8443.35,2024-03-04,unit,Sport,4,496.67,45,1,37.87,Mécontent,False,Carte bancaire,8405.48,Moyen
4636f901-d666-4c58-b9cf-8e906f4d3750,johnsonjared@example.com,**********,Pitcairn Islands,"(70.0, 99.0]",****************,Entreprise,8,2069.59,2024-06-05,local,Sport,0,258.7,5,5,394.23,Très satisfait,True,Virement,1675.3600000000001,Très faible
44dcc88d-26f2-478b-8911-60a550dbc412,sarah33@example.com,***-***-***-****x*****,Iceland,"(70.0, 99.0]",****************,Particulier,9,2349.49,2023-04-02,manager,Sport,10,261.05,80,0,0.0,Mécontent,False,Paypal,2349.49,Fort
a7c9afa8-65c6-409f-9c56-a5e932ecb61f,urivera@example.org,**********,Nepal,"(30.0, 50.0]",*************,Particulier,14,3287.49,2024-01-08,place,Alimentation,4,234.82,91,4,347.33,Mécontent,False,Carte bancaire,2940.16,Très fort
d0312781-dd1a-441e-9014-31b36ce7003b,sean30@example.com,***.***.****x***,Croatia,"(50.0, 70.0]",***************,Particulier,10,885.03,2023-08-31,lose,Électronique,9,88.5,1,3,61.6,Très satisfait,False,Carte bancaire,823.43,Très faible
5121dfad-3a32-4d3a-8a78-1d7799fea78b,perezrachel@example.com,(***)***-****x***,France,"(50.0, 70.0]",****************,Particulier,16,1049.08,2023-06-18,discuss,Alimentation,6,65.57,15,3,514.23,Très mécontent,True,Paypal,534.8499999999999,Très faible
d5e496c4-2d86-42a9-9933-c2c7ddc264d5,pamela15@example.com,***-***-****,Belarus,"(30.0, 50.0]",****************,Particulier,12,2261.62,2023-04-16,so,Mode,3,188.47,27,5,54.25,Neutre,False,Carte bancaire,2207.37,Faible
fdca66e3-a74d-4212-89cb-7f092134cf30,caitlin07@example.com,***-***-****,Grenada,"(30.0, 50.0]",****************,Particulier,15,1341.54,2023-05-12,they,Électronique,2,89.44,94,4,326.79,Satisfait,False,Paypal,1014.75,Très fort
c148da65-5ecd-42e2-91a8-11cf4389bf2f,holderheidi@example.com,***.***.****x*****,Indonesia,"(17.999, 30.0]",****************,Entreprise,20,944.95,2023-04-10,card,Alimentation,0,47.25,22,0,0.0,Satisfait,True,Cryptomonnaie,944.95,Faible
86a63c99-de8a-4a29-b050-c4be3875f9e3,hannah37@example.org,***-***-****x***,Haiti,"(17.999, 30.0]",*************,Entreprise,6,2709.69,2023-07-15,yourself,Électronique,7,451.62,42,3,577.62,Mécontent,False,Virement,2132.07,Moyen
0bb5f02b-7ead-4efd-aeaf-7675fcf5d513,michael07@example.com,***-***-***-****x****,Niger,"(50.0, 70.0]",****************,Particulier,14,3113.97,2024-08-08,factor,Alimentation,0,222.43,65,2,232.14,Neutre,True,Virement,2881.83,Fort
8fa9748c-89fb-4474-99cc-4eadf4af7189,jonesmatthew@example.net,(***)***-****x****,Venezuela,"(50.0, 70.0]",***************,Entreprise,1,237.25,2023-04-30,third,Mode,1,237.25,30,2,143.68,Très mécontent,False,Paypal,93.57,Faible
4d1795a7-4b9b-4539-9a46-e4e05fbdb141,michaelgarcia@example.com,+*-***-***-****x***,Qatar,"(50.0, 70.0]",****************,Entreprise,17,7099.67,2023-12-04,throughout,Sport,2,417.63,84,4,708.24,Neutre,True,Cryptomonnaie,6391.43,Très fort
ef11ab8e-1cea-4cbb-90d6-fa01bcc3078e,jenniferle@example.com,***.***.****x*****,British Virgin Islands,"(30.0, 50.0]",**************,Entreprise,5,1993.59,2024-10-06,stay,Maison,6,398.72,30,1,87.01,Satisfait,False,Virement,1906.58,Faible
4319740d-30aa-40d5-a7ab-690a4dc927b9,steven25@example.org,(***)***-****x*****,Kiribati,"(50.0, 70.0]",****************,Particulier,18,2592.2,2024-12-15,size,Électronique,9,144.01,75,0,0.0,Mécontent,True,Virement,2592.2,Fort
927a200d-9f25-480f-8f0a-e8528be0071c,vkrause@example.org,(***)***-****x*****,Macao,"(30.0, 50.0]",**************,Particulier,10,1258.59,2023-02-16,might,Maison,6,125.86,67,3,179.98,Très mécontent,True,Cryptomonnaie,1078.61,Fort
394dc6ed-5838-4b2b-b421-63ee8cbcf333,mccoydouglas@example.com,***.***.****x***,San Marino,"(70.0, 99.0]",****************,Particulier,13,1402.05,2024-10-08,past,Électronique,8,107.85,75,3,172.57,Très mécontent,False,Paypal,1229.48,Fort
87c56d0e-083c-4169-b776-82b0ef4aa2e0,travis69@example.net,***-***-****,Lithuania,"(30.0, 50.0]",*************,Particulier,17,7354.5,2024-04-23,whom,Alimentation,8,432.62,68,0,0.0,Satisfait,False,Paypal,7354.5,Fort
e885c02c-bee9-40df-8da1-ec76a9510e86,bushmarisa@example.net,***-***-****x***,Niger,"(50.0, 70.0]",****************,Entreprise,14,2648.67,2024-06-14,majority,Maison,7,189.19,11,3,60.64,Très mécontent,True,Paypal,2588.03,Très faible
9bffa1c0-2ed9-48c1-8903-0ae2ae360475,cwalsh@example.org,***-***-****,Guinea,"(50.0, 70.0]",****************,Particulier,3,866.42,2023-11-01,almost,Électronique,5,288.81,21,4,311.61,Très satisfait,True,Paypal,554.81,Faible
5e12a607-34eb-44e3-a79f-9ea48fa79ad3,sgonzales@example.org,***.***.****,Antigua and Barbuda,"(50.0, 70.0]",***************,Entreprise,17,2823.31,2024-04-27,produce,Électronique,1,166.08,29,5,252.17,Très satisfait,True,Carte bancaire,2571.14,Faible
2baab36b-5ab4-4062-a39e-511ed8274090,jamesfletcher@example.com,**********,Norfolk Island,"(70.0, 99.0]",**************,Entreprise,7,355.91,2023-09-10,some,Alimentation,4,50.84,8,0,0.0,Très satisfait,False,Paypal,355.91,Très faible
01642ae7-3c43-4d69-800e-f98a06df4bfd,kimberly56@example.com,+*-***-***-****,Saint Vincent and the Grenadines,"(70.0, 99.0]",****************,Particulier,10,1664.58,2024-05-05,avoid,Sport,8,166.46,44,3,149.93,Très mécontent,True,Carte bancaire,1514.6499999999999,Moyen
acb4f0a3-b990-441f-9e49-976ffe730dca,eric60@example.org,***-***-***-****x***,Macao,"(17.999, 30.0]",**************,Entreprise,9,4425.32,2025-02-06,consider,Électronique,6,491.7,12,2,280.82,Très satisfait,False,Paypal,4144.5,Très faible
55f15299-8363-4009-905c-ed0597e17746,mossamy@example.com,(***)***-****x*****,Korea,"(70.0, 99.0]",****************,Particulier,1,439.1,2024-09-29,modern,Alimentation,5,439.1,6,3,51.83,Satisfait,False,Cryptomonnaie,387.27000000000004,Très faible
899550ca-450b-40eb-9e45-77580dff36b1,ortizjeffrey@example.org,***-***-****,Sudan,"(30.0, 50.0]",****************,Entreprise,18,7988.71,2024-01-05,than,Électronique,5,443.82,47,5,179.84,Neutre,True,Paypal,7808.87,Moyen
50097f33-8f11-4d06-a489-f798cbae9577,lmatthews@example.com,***.***.****,Libyan Arab Jamahiriya,"(50.0, 70.0]",****************,Particulier,4,939.98,2024-04-15,teach,Sport,2,235.0,23,4,581.69,Très satisfait,True,Carte bancaire,358.28999999999996,Faible
55bcd8d4-b389-4f78-bacf-ae2ca5a1b44b,joserodriguez@example.com,***.***.****,United Arab Emirates,"(30.0, 50.0]",*******************,Particulier,2,282.96,2024-05-18,admit,Alimentation,9,141.48,33,3,237.1,Satisfait,False,Virement,45.859999999999985,Faible
ae1c561e-0388-4275-b156-460c3cfbb1a0,mjackson@example.org,***-***-***-****x***,Nepal,"(30.0, 50.0]",****************,Particulier,8,3646.85,2025-01-06,hair,Alimentation,3,455.86,29,0,0.0,Neutre,True,Paypal,3646.85,Faible
933d0042-3774-4282-87b5-76b12dc7fe2a,johnsonmichael@example.net,***-***-****x****,Egypt,"(50.0, 70.0]",*******************,Particulier,13,3258.57,2024-10-11,run,Mode,5,250.66,15,5,854.31,Neutre,True,Cryptomonnaie,2404.26,Très faible
c721ac00-474f-437a-b69a-96e80e6f9c72,alvarezjoshua@example.net,***.***.****x****,Chad,"(50.0, 70.0]",************,Particulier,8,3824.27,2024-12-02,open,Électronique,3,478.03,79,4,429.24,Mécontent,False,Carte bancaire,3395.0299999999997,Fort
c88a243c-318b-4005-a8ca-8d290dfb2c85,ngarcia@example.com,***.***.****x*****,Croatia,"(70.0, 99.0]",****************,Entreprise,16,6808.63,2024-12-20,military,Sport,5,425.54,63,5,445.77,Très satisfait,True,Virement,6362.860000000001,Fort
65e4d56c-7ea2-4f08-98d0-a5c584e3c906,bryanbryant@example.com,***.***.****,Northern Mariana Islands,"(50.0, 70.0]",**************,Particulier,17,7431.42,2024-02-28,entire,Électronique,6,437.14,58,4,749.65,Mécontent,False,Carte bancaire,6681.77,Moyen
4a95fc38-cf7f-458a-8c4f-7834627073f8,hayespeter@example.org,**********,Guatemala,"(70.0, 99.0]",*******************,Entreprise,18,6383.73,2023-08-10,speak,Sport,2,354.65,91,1,91.55,Neutre,False,Paypal,6292.179999999999,Très fort
4f950692-a56d-44ef-82fe-25267c2b5ca4,matthew32@example.org,**********,Tunisia,"(30.0, 50.0]",************,Entreprise,14,6725.92,2024-06-19,accept,Maison,8,480.42,34,2,395.22,Très mécontent,False,Virement,6330.7,Faible
b9926d0e-0d42-43b8-a631-fa792b429293,lawrencethomas@example.com,(***)***-****,Botswana,"(30.0, 50.0]",***************,Entreprise,13,3903.81,2023-12-09,sense,Sport,9,300.29,14,4,687.48,Très satisfait,True,Virement,3216.33,Très faible
9232060b-8cad-41f8-ad88-a90065d1f7f2,steven12@example.com,***-***-****x****,Sierra Leone,"(30.0, 50.0]",****************,Particulier,12,1861.19,2024-05-09,democratic,Sport,1,155.1,26,4,459.5,Neutre,False,Cryptomonnaie,1401.69,Faible
c7a79434-85dd-4d7a-8ef0-dac2d0fd3d41,laurarobinson@example.org,(***)***-****,United Arab Emirates,"(17.999, 30.0]",****************,Entreprise,5,962.87,2025-01-04,effort,Sport,2,192.57,30,2,160.77,Neutre,False,Virement,802.1,Faible
292d62e6-2ae3-4d40-9077-14cf277c6eaa,coxrebecca@example.com,***-***-***-****,Burkina Faso,"(17.999, 30.0]",************,Entreprise,14,3487.47,2025-01-04,someone,Électronique,10,249.1,60,0,0.0,Très satisfait,False,Paypal,3487.47,Moyen
aab1f3c7-60f5-4998-995e-dafaa2eb5395,angelfry@example.org,+*-***-***-****,Central African Republic,"(70.0, 99.0]",****************,Entreprise,6,49.92,2024-12-14,rest,Sport,9,8.32,64,0,0.0,Très mécontent,False,Paypal,49.92,Fort
507b1c6d-7c62-421d-961b-057a66f166d7,emily89@example.net,***.***.****,Cape Verde,"(30.0, 50.0]",****************,Entreprise,15,5134.11,2024-05-21,score,Électronique,2,342.27,31,4,229.98,Très satisfait,True,Cryptomonnaie,4904.13,Faible
8c4db733-52c0-41b0-b5c1-30c7ebff71ae,madison45@example.org,***.***.****,Mozambique,"(17.999, 30.0]",****************,Particulier,17,8256.64,2023-09-28,trade,Alimentation,10,485.68,1,2,108.04,Neutre,True,Carte bancaire,8148.599999999999,Très faible
2a445029-a8ab-44e4-acd4-d5cd39b11f53,mwright@example.com,***-***-***-****x****,Bahamas,"(70.0, 99.0]",*******************,Entreprise,2,793.66,2024-11-02,onto,Mode,9,396.83,68,3,339.89,Très mécontent,True,Virement,453.77,Fort
a355bb60-66c1-4b48-a741-0d7791c76ebe,christopherkelly@example.net,(***)***-****x****,Taiwan,"(50.0, 70.0]",****************,Entreprise,7,1444.26,2024-06-19,example,Maison,4,206.32,11,1,39.24,Satisfait,False,Virement,1405.02,Très faible
df490f6d-17a4-4472-8daf-61d65c079e90,charleslawrence@example.com,(***)***-****,Solomon Islands,"(50.0, 70.0]",*************,Entreprise,15,5964.99,2024-01-30,role,Alimentation,7,397.67,88,4,502.74,Très mécontent,False,Cryptomonnaie,5462.25,Très fort
167819ff-4378-4287-865e-2524d39bf2e1,brooke07@example.com,***.***.****x*****,Panama,"(30.0, 50.0]",*******************,Particulier,11,4884.94,2024-11-22,fear,Maison,0,444.09,39,2,89.18,Satisfait,False,Paypal,4795.759999999999,Faible
2fda522d-bac9-4f0f-814f-8ce3891911b8,michael78@example.org,(***)***-****x****,Ukraine,"(50.0, 70.0]",****************,Entreprise,16,7349.44,2023-09-16,any,Sport,2,459.34,22,4,614.29,Satisfait,False,Paypal,6735.15,Faible
532f4bd7-9526-47f4-885c-e9258307c0ed,richardslauren@example.net,***.***.****x*****,Uganda,"(17.999, 30.0]",****************,Entreprise,8,3172.81,2023-03-30,environment,Sport,6,396.6,69,5,713.54,Neutre,True,Paypal,2459.27,Fort
72e32a90-d57e-4dd4-86ce-790a46e8d4a7,heathershort@example.com,**********,Egypt,"(70.0, 99.0]",*************,Entreprise,13,5835.98,2023-11-07,town,Électronique,2,448.92,69,5,109.12,Très satisfait,False,Carte bancaire,5726.86,Fort
85424868-26d7-4dbe-82bc-76f724a6e60e,christina57@example.com,(***)***-****x*****,British Virgin Islands,"(70.0, 99.0]",****************,Particulier,8,1759.37,2023-02-21,north,Alimentation,4,219.92,58,0,0.0,Très satisfait,False,Paypal,1759.37,Moyen
5f4d85ef-9378-492a-a557-f1762ac5691f,tayloralice@example.com,***.***.****,Kyrgyz Republic,"(70.0, 99.0]",***************,Particulier,17,7512.77,2024-11-15,outside,Alimentation,1,441.93,73,3,42.53,Satisfait,True,Paypal,7470.240000000001,Fort
2e8b5969-0157-4455-b748-a96e2924416a,angelaallen@example.org,**********,Poland,"(70.0, 99.0]",****************,Particulier,7,2371.28,2024-02-01,draw,Alimentation,10,338.75,58,2,289.58,Satisfait,True,Paypal,2081.7000000000003,Moyen
d0e83f2c-edb3-4d82-b052-f63c2b352d60,jennareilly@example.net,***.***.****x****,Gabon,"(30.0, 50.0]",***************,Entreprise,17,8064.28,2023-12-23,enjoy,Électronique,1,474.37,57,4,403.84,Neutre,True,Paypal,7660.44,Moyen
eeadb895-7520-49d7-9e06-a83e991a47b3,johnlane@example.org,+*-***-***-****,Italy,"(17.999, 30.0]",****************,Particulier,13,3213.43,2024-09-10,face,Maison,10,247.19,45,5,512.3,Très mécontent,True,Cryptomonnaie,2701.13,Moyen
892376b7-7f32-47d1-a1a1-e2aa4903a753,whernandez@example.org,***-***-***-****x***,Pitcairn Islands,"(50.0, 70.0]",************,Entreprise,4,702.5,2023-07-04,Republican,Mode,7,175.62,15,4,111.96,Neutre,True,Virement,590.54,Très faible
95e0b2c5-f7a0-4e67-bacf-7ca1a61fc254,kelleyjoshua@example.net,+*-***-***-****,Anguilla,"(70.0, 99.0]",***************,Entreprise,16,6710.97,2025-02-03,situation,Alimentation,5,419.44,86,2,324.64,Neutre,False,Paypal,6386.33,Très fort
